honorific_title,first_name,last_name,username,profile_URL,status,gender,political_affiliation,constituency,province_territory
NA,Rachael,Thomas,RachaelThomasMP,https://www.youtube.com/@RachaelThomasMP,Active,Woman,Conservative,Lethbridge,Alberta
NA,Joanna,Thompson,MPJoanneThompson,https://www.youtube.com/@MPJoanneThompson,Active,Woman,Liberal,St. John's East,Newfoundland and Labrador
NA,Fraser,Tolmie,frasertolmiemp,https://www.youtube.com/@frasertolmiemp,Active,Man,Conservative,Moose Jaw-Lake Centre-Lanigan,Saskatchewan
Right Hon.,Justin,Trudeau,JustinTrudeau,https://www.youtube.com/@JustinTrudeau,Active,Man,Liberal,Papineau,Quebec
NA,Denis,Trudel,denistrudel-deputedelongue7901,https://www.youtube.com/@denistrudel-deputedelongue7901,Inactive,Man,Bloc Québécois,Longueuil-Saint-Hubert,Quebec
NA,Ryan,Turnbull,MPRyanTurnbullWhitby,https://www.youtube.com/@MPRyanTurnbullWhitby,Active,Man,Liberal,Whitby,Ontario
NA,Tim,Uppal,TimUppal,https://www.youtube.com/@TimUppal,Active,Man,Conservative,Edmonton Mill Woods,Alberta
Hon.,Rechie,Valdez,rechieaileenvaldez,https://www.youtube.com/@rechieaileenvaldez,Active,Woman,Liberal,Mississauga-Streetsville,Ontario
NA,Tony,Van Bynen,tonyvanbynenmp1425,https://www.youtube.com/@tonyvanbynenmp1425,Active,Man,Liberal,Newmarket-Aurora,Ontario
NA,Adam,Van Koeverden,adamvankoeverden3357,https://www.youtube.com/@adamvankoeverden3357,Inactive,Man,Liberal,Milton,Ontario
NA,Tako,Van Popta,takovanpopta5811,https://www.youtube.com/@takovanpopta5811,Active,Man,Conservative,Langley-Aldergrove,British Columbia
NA,Anita,Vandenbeld,AnitaVandenbeldMP,https://www.youtube.com/@AnitaVandenbeldMP,Active,Woman,Liberal,Ottawa West-Nepean,Ontario
NA,Karen,Vecchio,karenvecchiompforelgin-mid4870,https://www.youtube.com/@karenvecchiompforelgin-mid4870,Active,Woman,Conservative,Elgin-Middlesex-London,Ontario
NA,Gary,Vidal,garyvidal8212,https://www.youtube.com/@garyvidal8212,Active,Man,Conservative,Desnethe-Missinippi-Churchill River,Saskatchewan
NA,Arnold,Viersen,arnoldviersen3180,https://www.youtube.com/@arnoldviersen3180,Active,Man,Conservative,Peace River-Westlock,Alberta
NA,Julie,Vignola,julievignola4813,https://www.youtube.com/@julievignola4813,Active,Woman,Bloc Québécois,Beauport-Limoilou,Quebec
NA,René,Villemure,ReneVillemureBQ,https://www.youtube.com/@ReneVillemureBQ,Active,Man,Bloc Québécois,Trois-Rivières,Quebec
Hon.,Arif,Virani,ArifViraniMP,https://www.youtube.com/@ArifViraniMP,Inactive,Man,Liberal,Parkdale-High Park,Ontario
NA,Brad,Vis,BradVisMP,https://www.youtube.com/@BradVisMP,Active,Man,Conservative,Mission-Matsqui-Fraser Canyon,British Columbia
NA,Kevin,Vuong,KevinVuongMP,https://www.youtube.com/@KevinVuongMP,Active,Man,Independent,Spadina-Fort York,Ontario
NA,Cathay,Wagantall,CathayWagantallMP,https://www.youtube.com/@CathayWagantallMP,Active,Woman,Conservative,Yorkton-Melville,Saskatchewan
NA,Chris,Warkentin,chriswarkentin,https://www.youtube.com/@chriswarkentin,Active,Man,Conservative,Grande Prairie-Mackenzie,Alberta
NA,Kevin,Waugh,kevinwaugh9637,https://www.youtube.com/@kevinwaugh9637,Inactive,Man,Conservative,Saskatoon-Grasswood,Saskatchewan
NA,Len,Webber,lenwebber,https://www.youtube.com/@lenwebber,Active,Man,Conservative,Calgary Confederation,Alberta
NA,Patrick,Weiler,patrickweilermp,https://www.youtube.com/@patrickweilermp,Active,Man,Liberal,West Vancouver-Sunshine Coast-Sea to Sky Country,British Columbia
Hon.,Jonathan,Wilkinson,jonathanwilkinson2677,https://www.youtube.com/@jonathanwilkinson2677,Inactive,Man,Liberal,North Vancouver,British Columbia
NA,Ryan,Williams,RyanWilliamsMP,https://www.youtube.com/@RyanWilliamsMP,Active,Man,Conservative,Bay of Quinte,Ontario
NA,John,Williamson,johnwilliamsonmp,https://www.youtube.com/@johnwilliamsonmp,Active,Man,Conservative,New Brunswick Southwest,New Brunswick
NA,Jean,Yip,jeanyip8825,https://www.youtube.com/@jeanyip8825,Active,Woman,Liberal,Scarborough-Agincourt,Ontario
NA,Salma,Zahid,SalmaZahid15,https://www.youtube.com/@SalmaZahid15,Active,Woman,Liberal,Scarborough Centre,Ontario
NA,Bonita,Zarrillo,bonitazarrillondp,https://www.youtube.com/@bonitazarrillondp,Active,Woman,NDP,Port Moody-Coquitlam,British Columbia
NA,Bob,Zimmer,BobZimmerMP,https://www.youtube.com/@BobZimmerMP,Active,Man,Conservative,Prince George-Peace River-Northern Rockies,British Columbia
NA,Sameer,Zuberi,sameerzuberi6087,https://www.youtube.com/@sameerzuberi6087,Inactive,Man,Liberal,Pierrefonds-Dollard,Quebec
